Ticker,Market Cap,PE Ratio (TTM),PE Ratio (Current),Dividend Yield,Beta,Payout Ratio,Return on Equity (ROE),Retention Ratio,EPS Growth (ROE x Retention),Sector
MMM,77187883008,24.425001,23.53333333333333,2.21,1.131,0.48669997,0.75501,0.51330003,0.3875466556503,Industrials
AOS,8958420992,16.825974,16.646753246753246,2.18,1.304,0.3584,0.29197,0.6416,0.187327952,Industrials
ABT,181327216640,28.051075,28.349462365591396,2.39,0.744,0.6344,0.12961,0.36560000000000004,0.04738541600000001,Health Care
ABBV,360520810496,85.670166,86.16386554621849,3.37,0.334,2.7679,62.25,-1.7679,,Health Care
ACN,124089794560,16.53719,16.52809917355372,3.26,1.251,0.5017,0.24763,0.49829999999999997,0.12339402899999999,Information Technology
ADBE,101221089280,14.361095,14.452533488642981,0.0,1.532,0.0,0.58774,1.0,0.58774,Information Technology
AMD,331005853696,77.48851,76.84351145038168,0.0,2.022,0.0,0.07082,1.0,0.07082,Information Technology
AES,10057767936,10.77481,10.763358778625953,4.99,0.941,0.5373,0.01954,0.4627,0.009041157999999999,Utilities
AFL,55094038528,15.644427,15.574780058651026,2.3,0.65,0.3402,0.13118,0.6597999999999999,0.08655256399999998,Financials
A,31610159104,24.671082,24.569536423841058,0.92,1.312,0.22049999,0.19945998,0.77950001,0.1554790564045998,Health Care
APD,61929517056,,,2.58,0.864,1.0099,-0.01667,-0.00990000000000002,0.00016503300000000033,Materials
ABNB,79084879872,32.652225,31.811881188118814,0.0,1.163,0.0,0.30233,1.0,0.30233,Consumer Discretionary
AKAM,16476676096,37.042347,35.89413680781759,0.0,0.704,0.0,0.091730006,1.0,0.091730006,Information Technology
ALB,19705233408,,,1.03,1.476,0.5797,-0.04656,0.4203,-0.019569167999999998,Materials
ARE,8401601536,,,8.61,1.319,6.8946996,-0.05856,-5.8946996,0.345193608576,Real Estate
ALGN,12832488448,31.654867,30.651327433628317,0.0,1.823,0.0,0.103870004,1.0,0.103870004,Health Care
ALLE,12480327680,19.472446,19.151881720430108,1.46,1.008,0.2742,0.36084,0.7258,0.26189767199999997,Industrials
LNT,17855860736,22.114649,21.882165605095537,2.99,0.611,0.6465,0.11299,0.35350000000000004,0.039941965,Utilities
ALL,53851090944,5.4516554,5.4025223331581715,2.1,0.206,0.105100006,0.39518002,0.894899994,0.3536465975269199,Financials
GOOGL,3646761730048,27.88714,27.844588344125807,0.28,1.112,0.076799996,0.35705003,0.923200004,0.3296285891242001,Communication Services
GOOG,3608881397760,27.57196,27.61460258780037,0.28,1.112,0.076799996,0.35705003,0.923200004,0.3296285891242001,Communication Services
MO,108526125056,15.691749,15.648058252427184,6.58,0.434,1.0097001,,-0.0097001000000001,,Consumer Staples
AMZN,2259700678656,29.358438,28.64295676429568,0.0,1.42,0.0,0.22286,1.0,0.22286,Consumer Discretionary
AMCR,18153775104,29.541353,28.781954887218046,6.79,0.635,1.9267,0.07734,-0.9267000000000001,-0.07167097800000001,Materials
AEE,29566365696,19.992523,19.82429906542056,2.83,0.531,0.53080004,0.11337,0.46919995999999997,0.05319319946519999,Utilities
AEP,69343854592,19.250751,18.86786786786787,3.02,0.573,0.56159997,0.12486,0.43840003000000005,0.0547386277458,Utilities
AXP,208112402432,19.656147,19.22576447625244,1.29,1.152,0.2133,0.33992,0.7867,0.267415064,Financials
AIG,40454713344,13.80755,13.699815837937386,2.42,0.58,0.3223,0.07399,0.6777,0.050143022999999995,Financials
AMT,81729036288,32.38961,32.79962894248609,3.9,0.907,1.2593,0.2628,-0.2593000000000001,-0.06814404000000002,Real Estate
AWK,26594252800,23.942883,23.864674868189805,2.44,0.759,0.5707,0.10496,0.4293,0.045059328,Utilities
AMP,41268719616,12.236916,12.092011019283747,1.46,1.271,0.1731,0.60508,0.8269,0.5003406519999999,Financials
AME,49003966464,33.374416,32.66302652106084,0.65,1.013,0.19379999,0.14594,0.80620001,0.11765682945939998,Industrials
AMGN,188587425792,24.58468,24.44132115249473,2.9,0.425,0.669,1.0610299,0.33099999999999996,0.3512008969,Health Care
APH,159933153280,38.838806,37.75820895522388,0.79,1.214,0.22309999,0.36851,0.77690001,0.2862954226851,Information Technology
ADI,152351424512,56.946167,56.465328467153284,1.32,1.021,0.7239,0.07862,0.2761,0.021706982,Information Technology
AON,70058147840,19.139753,19.12096300645919,0.92,0.828,0.171,0.4694,0.829,0.3891326,Financials
APA,13766210560,9.766917,9.802005012531328,2.56,0.708,0.25059998,0.2532,0.74940002,0.18974808506399998,Energy
APO,64986497024,20.210127,20.216606498194945,1.82,1.638,0.35970002,0.14698,0.64029998,0.0941112910604,Financials
AAPL,3681683505152,31.667511,31.351453855878635,0.42,1.116,0.1304,1.5202099,0.8696,,Information Technology
AMAT,288477184000,37.28205,36.621538461538464,0.59,1.634,0.1826,0.38863,0.8174,0.317666162,Information Technology
