Ticker,Status,Entry Date,Entry Price,Entry SP500,Exit Date,Exit Price,Exit SP500,Exit Signal,Holding Days,Stock Return,SP500 Return,Excess Return,Dollar PnL,Sector,Source Cluster
LEN,Open,2026-03-10,98.72,6781.48,,,,,,,,,,Consumer Discretionary,cluster_2
EPAM,Open,2026-03-10,142.18,6781.48,,,,,,,,,,Information Technology,cluster_3
AES,Open,2026-03-10,14.21,6781.48,,,,,,,,,,Utilities,cluster_6
PHM,Open,2026-03-10,124.39,6781.48,,,,,,,,,,Consumer Discretionary,cluster_0
BAC,Open,2026-03-10,48.56,6781.48,,,,,,,,,,Financials,cluster_7
STT,Open,2026-03-10,122.55,6781.48,,,,,,,,,,Financials,cluster_7
DHI,Open,2026-04-06,140.63,6589.98,,,,,,,,,,Consumer Discretionary,cluster_4
AMP,Open,2026-04-06,433.24,6589.98,,,,,,,,,,Financials,cluster_3
DIS,Open,2026-04-13,101.18,6886.2402,,,,,,,,,,Communication Services,cluster_4
SYF,Open,2026-04-13,73.79,6886.2402,,,,,,,,,,Financials,cluster_4
UHS,Open,2026-04-21,179.08,7076.5498,,,,,,,,,,Health Care,cluster_3
BEN,Open,2026-05-04,30.015,7233.71,,,,,,,,,,Financials,cluster_5
GS,Open,2026-05-04,909.07,7233.71,,,,,,,,,,Financials,cluster_2
NTRS,Open,2026-05-04,161.24,7233.71,,,,,,,,,,Financials,cluster_2
WFC,Closed,2026-03-10,78.3,6781.48,2026-05-11,73.76,7408.77,Conflicting,62.0,-5.7982,9.25,-15.0483,-57.98,Financials,cluster_7
RCL,Closed,2026-04-06,274.89,6589.98,2026-05-11,263.67,7408.77,Undervalued (Cluster Model Insignificant),35.0,-4.0816,12.4248,-16.5064,-40.82,Consumer Discretionary,cluster_3
URI,Closed,2026-04-21,812.52,7076.5498,2026-05-11,941.18,7408.77,Undervalued (Cluster Model Insignificant),20.0,15.8347,4.6947,11.14,158.35,Industrials,cluster_1
FSLR,Closed,2026-04-21,187.91,7076.5498,2026-05-11,236.18,7408.77,Undervalued (Cluster Model Insignificant),20.0,25.6878,4.6947,20.9932,256.88,Information Technology,cluster_3
TROW,Closed,2026-04-27,100.5201,7163.3101,2026-05-11,105.145,7408.77,Conflicting,14.0,4.601,3.4266,1.1743,46.01,Financials,cluster_2
CMCSA,Closed,2026-04-27,27.535,7163.3101,2026-05-11,24.915,7408.77,Conflicting,14.0,-9.5152,3.4266,-12.9418,-95.15,Communication Services,cluster_2
EIX,Closed,2026-04-27,68.49,7163.3101,2026-05-11,70.37,7408.77,Conflicting,14.0,2.7449,3.4266,-0.6817,27.45,Utilities,cluster_2
PNC,Closed,2026-05-04,219.73,7233.71,2026-05-11,214.555,7408.77,Conflicting,7.0,-2.3552,2.4201,-4.7752,-23.55,Financials,cluster_1
PYPL,Closed,2026-04-06,45.59,6589.98,2026-05-04,50.545,7233.71,Undervalued (Cluster Model Insignificant),28.0,10.8686,9.7683,1.1003,108.69,Financials,cluster_3
SOLV,Closed,2026-04-06,63.091,6589.98,2026-05-04,68.17,7233.71,Fairly Valued (Cluster Model Insignificant),28.0,8.0503,9.7683,-1.718,80.5,Health Care,cluster_3
LULU,Closed,2026-04-06,154.85,6589.98,2026-05-04,131.94,7233.71,Undervalued (Cluster Model Insignificant),28.0,-14.795,9.7683,-24.5633,-147.95,Consumer Discretionary,cluster_3
