Ticker,PE Ratio (TTM),PE Ratio (Current),Market Cap (log),Beta,Dividend Yield,EPS Growth (ROE x Retention),Cluster,Sector,Payout Ratio,Predicted PE (Cluster),PE Difference (Cluster),Valuation Signal (Cluster),Cluster R²,Cluster Adj R²,Cluster F p-value,Cluster Residual SE
AKAM,37.43811,38.43648208469055,23.551826007527893,0.594,0.0,0.091730006,2,Information Technology,0.0,30.7,7.74,Fairly Valued,0.1539,0.1109,0.019,14.5399
ALL,5.458213,5.440998685939554,24.71042787503124,0.224,2.09,0.3536465975269199,2,Financials,5.90985468152541,10.2,-4.76,Fairly Valued,0.1539,0.1109,0.019,14.5399
AMGN,24.035841,24.45115952213633,25.94025009945752,0.465,2.9,0.3512008969,2,Health Care,8.257382101235743,14.27,10.18,Fairly Valued,0.1539,0.1109,0.019,14.5399
APA,10.753133,10.536340852130325,23.4416791365068,0.484,2.38,0.1897480850639999,2,Energy,12.542946081364946,22.01,-11.47,Fairly Valued,0.1539,0.1109,0.019,14.5399
ACGL,8.325862,8.339655172413792,24.261579023279253,0.384,0.0,0.19540001,2,Financials,0.0,22.15,-13.81,Fairly Valued,0.1539,0.1109,0.019,14.5399
AJG,38.26507,37.91114982578397,24.75697230739469,0.683,1.29,0.0377758213812,2,Financials,34.14882728776343,26.42,11.49,Fairly Valued,0.1539,0.1109,0.019,14.5399
AIZ,12.868359,12.884297520661155,23.11360366405697,0.56,1.54,0.1281936338202,2,Financials,12.013077046867643,26.61,-13.73,Fairly Valued,0.1539,0.1109,0.019,14.5399
BRK-B,15.367386,15.383499838865614,27.659126334135312,0.699,0.0,0.09809,2,Financials,0.0,35.92,-20.54,Undervalued,0.1539,0.1109,0.019,14.5399
BIIB,19.335226,20.152272727272727,23.940979504531363,0.162,0.0,0.07394,2,Health Care,0.0,19.81,0.34,Fairly Valued,0.1539,0.1109,0.019,14.5399
BSX,32.13701,32.381443298969074,25.252167869273997,0.782,0.0,0.12445,2,Health Care,0.0,35.68,-3.3,Fairly Valued,0.1539,0.1109,0.019,14.5399
BRO,21.05538,20.870253164556964,23.84341896955928,0.826,0.96,0.0904142051226,2,Financials,10.617800584523833,36.62,-15.75,Undervalued,0.1539,0.1109,0.019,14.5399
CBOE,28.316042,27.853025936599423,24.152496414986615,0.369,0.96,0.17307424,2,Financials,5.546752653658915,20.35,7.5,Fairly Valued,0.1539,0.1109,0.019,14.5399
CF,14.731884,14.489409141583051,23.734210176490237,0.516,1.54,0.1818257723401,2,Materials,8.46964641029806,23.97,-9.48,Fairly Valued,0.1539,0.1109,0.019,14.5399
CB,12.678349,12.78543613707165,25.570085107191417,0.503,1.18,0.122036544,2,Financials,9.669234815433645,25.79,-13.0,Fairly Valued,0.1539,0.1109,0.019,14.5399
CHD,30.880796,30.745033112582774,23.81843481611016,0.473,1.32,0.107358663524,2,Consumer Staples,12.295235025023523,24.5,6.25,Fairly Valued,0.1539,0.1109,0.019,14.5399
CME,27.70367,27.31512981199642,25.44418113262078,0.296,1.7,0.0814200029499999,2,Financials,20.879390056568425,18.03,9.29,Fairly Valued,0.1539,0.1109,0.019,14.5399
CTVA,48.44,48.83428571428571,24.766490082942184,0.68,0.84,0.029844,2,Materials,28.146361077603537,27.57,21.26,Overvalued,0.1539,0.1109,0.019,14.5399
DVN,11.916066,11.86810551558753,24.153378010801703,0.526,1.94,0.1365317262264,2,Energy,14.209151628120837,24.88,-13.01,Fairly Valued,0.1539,0.1109,0.019,14.5399
DG,18.044527,17.48029197080292,24.027257361970424,0.34,1.97,0.1244925665549999,2,Consumer Staples,15.824237980744565,19.57,-2.09,Fairly Valued,0.1539,0.1109,0.019,14.5399
EA,76.325836,76.25468164794007,24.655075818411003,0.725,0.37,0.071733158,2,Communication Services,5.158005172447586,31.48,44.77,Overvalued,0.1539,0.1109,0.019,14.5399
EQT,18.259819,18.036253776435046,24.353751031336188,0.693,1.11,0.072722518,2,Energy,15.26349788933326,32.18,-14.14,Fairly Valued,0.1539,0.1109,0.019,14.5399
FDS,14.81672,14.641800643086816,22.86892451010883,0.724,1.93,0.201334196,2,Financials,9.586051641222438,29.24,-14.6,Undervalued,0.1539,0.1109,0.019,14.5399
