Ticker,Predicted PE (Cluster),PE Difference (Cluster),Valuation Signal (Cluster),Cluster R²,Cluster Adj R²,Cluster F p-value,Cluster Residual SE,Source Cluster,Sector,PE Ratio (Current),EPS Growth (ROE x Retention),Beta,Payout Ratio,Predicted PE (Index),PE Difference (Index),Valuation Signal (Index),Index R²,Index Adj R²,Index F p-value,Index Residual SE,Combined Signal
ADBE,33.29,-19.13,Model Insignificant,0.075,-0.3215,0.9005,14.3124,cluster_0,Information Technology,14.164431486880469,0.58774,1.518,0.0,29.59,-15.43,Undervalued,0.0927,0.0854,0.0,14.8874,Undervalued (Index only)
COR,31.65,7.44,Model Insignificant,0.075,-0.3215,0.9005,14.3124,cluster_0,Health Care,39.08543922984356,0.974175633,0.718,0.2701,14.72,24.37,Overvalued,0.0927,0.0854,0.0,14.8874,Overvalued (Index only)
DVA,34.24,-18.93,Model Insignificant,0.075,-0.3215,0.9005,14.3124,cluster_0,Health Care,15.3080967402734,0.64848,0.915,0.0,22.86,-7.55,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued (Index only)
IT,42.7,-26.33,Model Insignificant,0.075,-0.3215,0.9005,14.3124,cluster_0,Information Technology,16.37448132780083,0.86861,1.045,0.0,22.24,-5.87,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued (Index only)
IDXX,19.66,23.82,Model Insignificant,0.075,-0.3215,0.9005,14.3124,cluster_0,Health Care,43.477099236641216,0.66202,1.722,0.0,30.15,13.33,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued (Index only)
JBL,22.55,13.69,Model Insignificant,0.075,-0.3215,0.9005,14.3124,cluster_0,Information Technology,36.24156545209177,0.571240554724,1.159,0.0431,25.46,10.78,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued (Index only)
KLAC,26.93,17.32,Model Insignificant,0.075,-0.3215,0.9005,14.3124,cluster_0,Information Technology,44.24854142357059,0.7902961859274,1.435,0.21540001,25.04,19.21,Overvalued,0.0927,0.0854,0.0,14.8874,Overvalued (Index only)
LII,26.74,-6.78,Model Insignificant,0.075,-0.3215,0.9005,14.3124,cluster_0,Industrials,19.95785776997366,0.590284072,1.21,0.2216,25.79,-5.83,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued (Index only)
LLY,20.49,20.33,Model Insignificant,0.075,-0.3215,0.9005,14.3124,cluster_0,Health Care,40.81937172774869,0.7471603942318,0.504,0.26139998,15.64,25.18,Overvalued,0.0927,0.0854,0.0,14.8874,Overvalued (Index only)
MSI,25.01,9.47,Model Insignificant,0.075,-0.3215,0.9005,14.3124,cluster_0,Information Technology,34.48232521602513,0.6758217420000001,0.992,0.3514,21.88,12.6,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued (Index only)
NTAP,41.07,-23.73,Model Insignificant,0.075,-0.3215,0.9005,14.3124,cluster_0,Information Technology,17.340604026845636,0.7329413699999999,1.292,0.349,25.24,-7.9,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued (Index only)
AOS,15.68,1.03,Fairly Valued,0.2159,0.1797,0.0012,11.1282,cluster_1,Industrials,16.71428571428571,0.187327952,1.346,0.3584,30.53,-13.82,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued
ACN,23.12,-6.62,Fairly Valued,0.2159,0.1797,0.0012,11.1282,cluster_1,Information Technology,16.502459016393445,0.1213882259999999,1.236,0.5098,29.74,-13.24,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued
ADI,32.96,25.13,Overvalued,0.2159,0.1797,0.0012,11.1282,cluster_1,Information Technology,58.0912408759124,0.021706982,1.053,0.7239,27.94,30.15,Overvalued,0.0927,0.0854,0.0,14.8874,Strong Overvalued
APO,21.36,-2.04,Fairly Valued,0.2159,0.1797,0.0012,11.1282,cluster_1,Financials,19.32129963898917,0.0941112910604,1.56,0.35970002,33.6,-14.28,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued
AVY,20.9,-1.41,Fairly Valued,0.2159,0.1797,0.0012,11.1282,cluster_1,Materials,19.485227272727272,0.174963471418,1.003,0.4209,27.04,-7.55,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued
BKR,28.97,-5.75,Fairly Valued,0.2159,0.1797,0.0012,11.1282,cluster_1,Energy,23.223076923076924,0.094035024,0.898,0.3538,26.87,-3.65,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued
BALL,23.53,-5.36,Fairly Valued,0.2159,0.1797,0.0012,11.1282,cluster_1,Materials,18.172727272727272,0.1221402736122,1.142,0.24239999,29.32,-11.15,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued
BAC,27.39,-14.43,Undervalued,0.2159,0.1797,0.0012,11.1282,cluster_1,Financials,12.960629921259844,0.0732048029566,1.237,0.28350002,30.69,-17.73,Undervalued,0.0927,0.0854,0.0,14.8874,Strong Undervalued
BLK,27.24,0.16,Fairly Valued,0.2159,0.1797,0.0012,11.1282,cluster_1,Financials,27.396825396825395,0.043914165951,1.493,0.5902,32.86,-5.46,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued
BK,27.21,-10.71,Fairly Valued,0.2159,0.1797,0.0012,11.1282,cluster_1,Financials,16.504054054054052,0.094116706,1.053,0.2703,28.63,-12.13,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued
BR,14.08,3.72,Fairly Valued,0.2159,0.1797,0.0012,11.1282,cluster_1,Industrials,17.80199115044248,0.246411528,1.015,0.4104,26.53,-8.73,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued
CHRW,22.05,12.7,Overvalued,0.2159,0.1797,0.0012,11.1282,cluster_1,Industrials,34.749482401656316,0.159453795,0.935,0.5155,26.24,8.51,Fairly Valued,0.0927,0.0854,0.0,14.8874,Conflicting
COF,39.54,14.44,Overvalued,0.2159,0.1797,0.0012,11.1282,cluster_1,Financials,53.982195845697326,0.0054152289576,1.144,0.77379996,28.87,25.11,Overvalued,0.0927,0.0854,0.0,14.8874,Strong Overvalued
CARR,27.72,5.24,Fairly Valued,0.2159,0.1797,0.0012,11.1282,cluster_1,Industrials,32.96449704142012,0.051074375,1.319,0.5325,31.08,1.88,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued
SCHW,25.06,-4.89,Fairly Valued,0.2159,0.1797,0.0012,11.1282,cluster_1,Financials,20.16559139784946,0.138969046323,0.901,0.2323,26.75,-6.58,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued
CSCO,29.67,-1.25,Fairly Valued,0.2159,0.1797,0.0012,11.1282,cluster_1,Information Technology,28.424460431654676,0.097419250899,0.819,0.5899,25.51,2.91,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued
C,32.11,-15.65,Undervalued,0.2159,0.1797,0.0012,11.1282,cluster_1,Financials,16.464285714285715,0.0456379109999999,1.085,0.3319,29.29,-12.83,Fairly Valued,0.0927,0.0854,0.0,14.8874,Conflicting
CFG,34.11,-18.31,Undervalued,0.2159,0.1797,0.0012,11.1282,cluster_1,Financials,15.800518134715029,0.040144104,1.058,0.4456,28.83,-13.03,Fairly Valued,0.0927,0.0854,0.0,14.8874,Conflicting
CTSH,26.95,-13.24,Undervalued,0.2159,0.1797,0.0012,11.1282,cluster_1,Information Technology,13.714912280701755,0.1103653979999999,0.976,0.2719,27.71,-14.0,Fairly Valued,0.0927,0.0854,0.0,14.8874,Conflicting
GLW,27.91,52.92,Overvalued,0.2159,0.1797,0.0012,11.1282,cluster_1,Information Technology,80.83060109289616,0.05782752,1.053,0.612,27.8,53.03,Overvalued,0.0927,0.0854,0.0,14.8874,Strong Overvalued
CRH,23.02,-4.03,Fairly Valued,0.2159,0.1797,0.0012,11.1282,cluster_1,Materials,18.98911070780399,0.1147127728632,1.241,0.26860002,30.33,-11.34,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued
CSX,19.7,7.07,Fairly Valued,0.2159,0.1797,0.0012,11.1282,cluster_1,Industrials,26.766233766233764,0.149090353,1.246,0.3377,29.88,-3.11,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued
CMI,20.94,5.87,Fairly Valued,0.2159,0.1797,0.0012,11.1282,cluster_1,Industrials,26.813658536585365,0.150100344,1.14,0.3727,28.73,-1.92,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued
DHR,30.77,7.23,Fairly Valued,0.2159,0.1797,0.0012,11.1282,cluster_1,Health Care,37.99602385685885,0.052580115,0.986,0.2545,28.29,9.71,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued
DE,24.75,7.72,Fairly Valued,0.2159,0.1797,0.0012,11.1282,cluster_1,Industrials,32.47095318668923,0.12414627,0.992,0.3655,27.48,4.99,Fairly Valued,0.0927,0.0854,0.0,14.8874,Fairly Valued
ETN,22.25,12.34,Overvalued,0.2159,0.1797,0.0012,11.1282,cluster_1,Industrials,34.588122605363985,0.1295649776568004,1.164,0.39810002,29.08,5.51,Fairly Valued,0.0927,0.0854,0.0,14.8874,Conflicting
